word,doc,topic
교수님,1,1
비대면,1,1
온라인,1,1
코로나,1,1
비대면,1,1
대면,1,1
오프라인,1,1
평가,1,1
비대면,1,1
교수님,1,1
대면,2,1
평가,2,1
비대면,2,1
밀집도,2,1
코로나,2,1
회신,2,1
메일,2,1
코로나,2,1
통계학과,3,1
계획,3,1
대면,3,1
평가,3,1
강의계획서,3,1
코로나,3,1
평가,3,1
대면,3,1
비대면,3,1
비대면,3,1
공정성,3,1
전공,3,1
코로나,4,1
대면,4,1
비대면,4,1
코로나,4,1
계획,4,1
평가,4,1
공정성,4,1
평가,4,1
학생,4,1
기말,4,1
기말,4,1
학생,4,1
공정성,4,1
비대면,4,1
학부,5,1
중간고사,5,1
평가,5,1
비대면,5,1
계획,5,1
공정성,5,1
학생,5,1
코로나,5,1
비대면,5,1
코로나,5,1
복수전공,6,3
취업,6,3
교수님,6,3
자격증,6,3
진로,6,3
방학,6,3
취업,6,3
대학원,6,3
기숙사,6,3
진로,6,3
대학원,6,3
취업,6,3
자격증,6,3
선배,7,3
자격증,7,3
교수님,7,3
방학,7,3
자격증,7,3
컴활,7,3
사조사,7,3
컴활,8,3
복수전공,8,3
자격증,8,3
취업,8,3
대학원,8,3
학점,8,3
토익,8,3
취업,8,3
학점,8,3
학부,8,3
어학,9,3
자격증,9,3
기숙사,9,3
비대면,9,3
머신러닝,9,3
취업,9,3
대학원,9,3
복수전공,9,3
선배,9,3
규빈아,10,2
논문,10,2
pca,10,2
hst,10,2
ssa,10,2
정리,10,2
hst,10,2
발표,10,2
공저자,10,2
저자,10,2
제출,10,2
수정,10,2
리뷰,10,2
수고했다,10,2
규빈아,11,2
첫학기,11,2
수업,11,2
논문,11,2
ssa,11,2
pca,11,2
hst,11,2
hst,11,2
제출,11,2
hst,12,2
리뷰,12,2
빨리,12,2
제출,12,2
규빈아,12,2
논문,12,2
ssa,12,2
hst,12,2
저자,12,2
규빈아,13,2
논문,13,2
비교,13,2
제출,13,2
빨리,13,2
규빈아,13,2
hst,13,2
ebt,13,2
hst,13,2
pca,13,2
hst,13,2
마무리,13,2
